Column1;t_idx;u_abs_eff_FLORIS;Ct_FLORIS;AI_FLORIS;TI_FLORIS;Power_FLORIS;power_OFF;time
220;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;960
221;5;5,73542E+14;9,01879E+13;3,43379E+15;1,01893E+16;1,63142E+16;1,49595E+16;960
222;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;960
223;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+15;960
224;8;6,11438E+14;8,93856E+15;3,37101E+16;1,05503E+15;1,98175E+16;1,83469E+16;960
225;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;1000
226;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;1000
227;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;1000
228;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;1000
229;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;1000
230;5;5,73542E+15;9,01879E+13;3,43379E+15;1,01893E+16;1,63142E+15;1,49595E+16;1000
231;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;1000
232;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+16;1000
233;8;6,11438E+14;8,93856E+15;3,37101E+16;1,05503E+16;1,98175E+16;1,83469E+16;1000
234;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;1040
235;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;1040
236;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;1040
237;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;1040
238;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;1040
239;5;5,73542E+16;9,01879E+13;3,43379E+15;1,01893E+16;1,63142E+16;1,49595E+16;1040
240;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;1040
241;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+16;1040
242;8;6,11438E+15;8,93856E+15;3,37101E+15;1,05503E+15;1,98175E+15;1,83469E+16;1040
243;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;1080
244;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;1080
245;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;1080
246;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;1080
247;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;1080
248;5;5,73542E+16;9,01879E+13;3,43379E+15;1,01893E+16;1,63142E+16;1,49595E+16;1080
249;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;1080
250;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+16;1080
251;8;6,11438E+14;8,93856E+15;3,37101E+16;1,05503E+15;1,98175E+16;1,83469E+16;1080
252;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;1120
253;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;1120
254;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;1120
