t_idx,yaw,orientation,wind_dir,time
308,2,0.0,225.0,225.0,136.0
309,3,0.0,225.0,225.0,136.0
310,4,0.0,225.0,225.0,136.0
311,5,0.0,225.0,225.0,136.0
312,6,0.0,225.0,225.0,136.0
313,7,0.0,225.0,225.0,136.0
314,8,0.0,225.0,225.0,136.0
315,0,0.0,225.0,225.0,140.0
316,1,0.0,225.0,225.0,140.0
317,2,0.0,225.0,225.0,140.0
318,3,0.0,225.0,225.0,140.0
319,4,0.0,225.0,225.0,140.0
320,5,0.0,225.0,225.0,140.0
321,6,0.0,225.0,225.0,140.0
322,7,0.0,225.0,225.0,140.0
323,8,0.0,225.0,225.0,140.0
324,0,0.0,225.0,225.0,144.0
325,1,0.0,225.0,225.0,144.0
326,2,0.0,225.0,225.0,144.0
327,3,0.0,225.0,225.0,144.0
328,4,0.0,225.0,225.0,144.0
329,5,0.0,225.0,225.0,144.0
330,6,0.0,225.0,225.0,144.0
331,7,0.0,225.0,225.0,144.0
332,8,0.0,225.0,225.0,144.0
333,0,0.0,225.0,225.0,148.0
334,1,0.0,225.0,225.0,148.0
335,2,0.0,225.0,225.0,148.0
336,3,0.0,225.0,225.0,148.0
337,4,0.0,225.0,225.0,148.0
338,5,0.0,225.0,225.0,148.0
339,6,0.0,225.0,225.0,148.0
340,7,0.0,225.0,225.0,148.0
341,8,0.0,225.0,225.0,148.0
342,0,0.0,225.0,225.0,152.0
343,1,0.0,225.0,225.0,152.0
344,2,0.0,225.0,225.0,152.0
345,3,0.0,225.0,225.0,152.0
346,4,0.0,225.0,225.0,152.0
347,5,0.0,225.0,225.0,152.0
348,6,0.0,225.0,225.0,152.0
349,7,0.0,225.0,225.0,152.0
350,8,0.0,225.0,225.0,152.0
351,0,0.0,225.0,225.0,156.0
352,1,0.0,225.0,225.0,156.0
353,2,0.0,225.0,225.0,156.0
354,3,0.0,225.0,225.0,156.0
355,4,0.0,225.0,225.0,156.0
356,5,0.0,225.0,225.0,156.0
357,6,0.0,225.0,225.0,156.0
358,7,0.0,225.0,225.0,156.0
359,8,0.0,225.0,225.0,156.0
360,0,0.0,225.0,225.0,160.0
361,1,0.0,225.0,225.0,160.0
362,2,0.0,225.0,225.0,160.0
363,3,0.0,225.0,225.0,160.0
364,4,0.0,225.0,225.0,160.0
365,5,0.0,225.0,225.0,160.0
366,6,0.0,225.0,225.0,160.0
367,7,0.0,225.0,225.0,160.0
368,8,0.0,225.0,225.0,160.0
369,0,0.0,225.0,225.0,164.0
370,1,0.0,225.0,225.0,164.0
371,2,0.0,225.0,225.0,164.0
372,3,0.0,225.0,225.0,164.0
373,4,0.0,225.0,225.0,164.0
374,5,0.0,225.0,225.0,164.0
375,6,0.0,225.0,225.0,164.0
376,7,0.0,225.0,225.0,164.0
377,8,0.0,225.0,225.0,164.0
378,0,0.0,225.0,225.0,168.0
379,1,0.0,225.0,225.0,168.0
380,2,0.0,225.0,225.0,168.0
381,3,0.0,225.0,225.0,168.0
382,4,0.0,225.0,225.0,168.0
383,5,0.0,225.0,225.0,168.0
384,6,0.0,225.0,225.0,168.0
385,7,0.0,225.0,225.0,168.0
386,8,0.0,225.0,225.0,168.0
387,0,0.0,225.0,225.0,172.0
388,1,0.0,225.0,225.0,172.0
389,2,0.0,225.0,225.0,172.0
390,3,0.0,225.0,225.0,172.0
391,4,0.0,225.0,225.0,172.0
392,5,0.0,225.0,225.0,172.0
393,6,0.0,225.0,225.0,172.0
394,7,0.0,225.0,225.0,172.0
395,8,0.0,225.0,225.0,172.0
396,0,0.0,225.0,225.0,176.0
397,1,0.0,225.0,225.0,176.0
398,2,0.0,225.0,225.0,176.0
399,3,0.0,225.0,225.0,176.0
400,4,0.0,225.0,225.0,176.0
401,5,0.0,225.0,225.0,176.0
402,6,0.0,225.0,225.0,176.0
403,7,0.0,225.0,225.0,176.0
404,8,0.0,225.0,225.0,176.0
405,0,0.0,225.0,225.0,180.0
406,1,0.0,225.0,225.0,180.0
407,2,0.0,225.0,225.0,180.0
408,3,0.0,225.0,225.0,180.0
409,4,0.0,225.0,225.0,180.0
410,5,0.0,225.0,225.0,180.0
411,6,0.0,225.0,225.0,180.0
412,7,0.0,225.0,225.0,180.0
413,8,0.0,225.0,225.0,180.0
414,0,0.0,225.0,225.0,184.0
415,1,0.0,225.0,225.0,184.0
416,2,0.0,225.0,225.0,184.0
417,3,0.0,225.0,225.0,184.0
418,4,0.0,225.0,225.0,184.0
419,5,0.0,225.0,225.0,184.0
420,6,0.0,225.0,225.0,184.0
421,7,0.0,225.0,225.0,184.0
422,8,0.0,225.0,225.0,184.0
423,0,0.0,225.0,225.0,188.0
424,1,0.0,225.0,225.0,188.0
425,2,0.0,225.0,225.0,188.0
426,3,0.0,225.0,225.0,188.0
427,4,0.0,225.0,225.0,188.0
428,5,0.0,225.0,225.0,188.0
429,6,0.0,225.0,225.0,188.0
430,7,0.0,225.0,225.0,188.0
431,8,0.0,225.0,225.0,188.0
432,0,0.0,225.0,225.0,192.0
433,1,0.0,225.0,225.0,192.0
434,2,0.0,225.0,225.0,192.0
435,3,0.0,225.0,225.0,192.0
436,4,0.0,225.0,225.0,192.0
437,5,0.0,225.0,225.0,192.0
438,6,0.0,225.0,225.0,192.0
439,7,0.0,225.0,225.0,192.0
440,8,0.0,225.0,225.0,192.0
441,0,0.0,225.0,225.0,196.0
442,1,0.0,225.0,225.0,196.0
443,2,0.0,225.0,225.0,196.0
444,3,0.0,225.0,225.0,196.0
445,4,0.0,225.0,225.0,196.0
446,5,0.0,225.0,225.0,196.0
447,6,0.0,225.0,225.0,196.0
448,7,0.0,225.0,225.0,196.0
449,8,0.0,225.0,225.0,196.0
450,0,0.0,225.0,225.0,200.0
451,1,0.0,225.0,225.0,200.0
